:TYPE,:START_ID,:END_ID,kegg_species_id:string,interaction_type:string,kegg:string,kegg_int_type:string
KEGG_DECREASES_EXPRESSION,25160,18470,mmu,repression,#2417:7153,GErel
KEGG_DECREASES_EXPRESSION,35109,20254,mmu,repression,#2425:5581,GErel
KEGG_DECREASES_EXPRESSION,37567,2797,mmu,repression,#2435:7717,GErel
KEGG_DECREASES_EXPRESSION,42396,20736,rno,repression,#2419:11586,GErel
KEGG_DECREASES_EXPRESSION,41362,18217,rno,inhibition;repression,#2429:11765,GErel
KEGG_DECREASES_EXPRESSION,41098,10236,rno,repression,#2437:11633,GErel
KEGG_DECREASES_EXPRESSION,34743,14147,hsa,inhibition;repression,#2415:2758,GErel
KEGG_DECREASES_EXPRESSION,40473,14015,hsa,repression;indirect effect,#2424:1483,GErel
KEGG_DECREASES_EXPRESSION,36437,10055,hsa,repression,#2438:3068,GErel
KEGG_DECREASES_EXPRESSION,37897,18038,mmu,repression,#2418:5344,GErel
KEGG_DECREASES_EXPRESSION,34881,3134,mmu,repression,#2425:7175,GErel
KEGG_DECREASES_EXPRESSION,7715,13932,mmu,repression,#2436:5545,GErel
KEGG_DECREASES_EXPRESSION,16658,5520,rno,repression,#2420:9720,GErel
KEGG_DECREASES_EXPRESSION,7789,13920,rno,repression,#2429:12158,GErel
KEGG_DECREASES_EXPRESSION,16658,20305,rno,repression,#2438:9719,GErel
KEGG_DECREASES_EXPRESSION,33561,20656,hsa,repression,#2416:1447,GErel
KEGG_DECREASES_EXPRESSION,7681,10108,hsa,repression,#2425:1448,GErel
KEGG_DECREASES_EXPRESSION,33561,18094,hsa,repression,#2439:1447,GErel
KEGG_DECREASES_EXPRESSION,16671,2809,mmu,repression,#2418:5546,GErel
KEGG_DECREASES_EXPRESSION,3399,18364,mmu,repression,#2425:7717,GErel
KEGG_DECREASES_EXPRESSION,41379,10317,mmu,repression,#2436:7101,GErel
KEGG_DECREASES_EXPRESSION,43049,20222,rno,repression,#2420:11504,GErel
KEGG_DECREASES_EXPRESSION,34569,5871,rno,repression;indirect effect,#2430:9755,GErel
KEGG_DECREASES_EXPRESSION,41014,5871,rno,repression;indirect effect,#2438:9755,GErel
