:ID,:LABEL,bel:string,involved_genes:string,involved_other:string,species:float
26753,Composite,"composite(p(MGI:""Prkcb""),p(MGI:""Prkcd""))",Prkcb;Prkcd,,10090.0
27846,Composite,"composite(p(MGI:""Ntsr1""),p(MGI:""Ntsr2""))",Ntsr2;Ntsr1,,10090.0
27847,Composite,"composite(p(HGNC:""CHUK""),p(HGNC:""IKBKB""))",IKBKB;CHUK,,9606.0
27848,Composite,"composite(p(MGI:""Mir17""),p(MGI:""Mir18""),p(MGI:""Mir19a""),p(MGI:""Mir19b-1""),p(MGI:""Mir19b-2""),p(MGI:""Mir20a""),p(MGI:""Mir92-1""),p(MGI:""Mir92-2""))",Mir17;Mir19a;Mir18;Mir19b-2;Mir19b-1;Mir92-2;Mir20a;Mir92-1,,10090.0
27849,Composite,"composite(p(MGI:""Taar1""),p(MGI:""Taar2""),p(MGI:""Taar3""),p(MGI:""Taar4""),p(MGI:""Taar5""),p(MGI:""Taar6""),p(MGI:""Taar7a""),p(MGI:""Taar7b""),p(MGI:""Taar7d""),p(MGI:""Taar7e""),p(MGI:""Taar7f""),p(MGI:""Taar8a""),p(MGI:""Taar8b""),p(MGI:""Taar8c""),p(MGI:""Taar9""))",Taar7d;Taar7b;Taar8c;Taar7a;Taar8b;Taar6;Taar7f;Taar9;Taar7e;Taar3;Taar2;Taar5;Taar4;Taar8a;Taar1,,10090.0
27850,Composite,"composite(p(HGNC:""EDN1""),p(HGNC:""EDN2""),p(HGNC:""EDN3""))",EDN1;EDN2;EDN3,,9606.0
27851,Composite,"composite(p(KEGG:""rno:317366""),p(RGD:""Pim1""))",Pim1;rno:317366,,
27852,Composite,"composite(p(MGI:""Stat1""),p(MGI:""Stat2""),p(MGI:""Stat3""),p(MGI:""Stat4""),p(MGI:""Stat5a""),p(MGI:""Stat5b""),p(MGI:""Stat6""))",Stat5a;Stat5b;Stat6;Stat4;Stat3;Stat2;Stat1,,10090.0
27853,Composite,"composite(p(HGNC:""B3GALT1""),p(HGNC:""B3GALT2""),p(HGNC:""B3GALT5""))",B3GALT2;B3GALT1;B3GALT5,,9606.0
27854,Composite,"composite(p(MGI:""Elovl1""),p(MGI:""Elovl2""),p(MGI:""Elovl3""),p(MGI:""Elovl4""),p(MGI:""Elovl5""),p(MGI:""Elovl6""),p(MGI:""Elovl7""))",Elovl2;Elovl3;Elovl4;Elovl5;Elovl1;Elovl6;Elovl7,,10090.0
